rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
332,EIX,Edison International,73.37,81,10.4,,Narrow,,Utilities,Utilities - Regulated Electric
333,UL,Unilever PLC ADR,63.41,70,10.4,,Wide,,Consumer Defensive,Household & Personal Products
334,EDU,New Oriental Education & Technology Group Inc ADR,58.89,65,10.4,,None,,Consumer Defensive,Education & Training Services
335,AEP,American Electric Power Co Inc,127.85,141,10.3,4,Narrow,,Utilities,Utilities - Regulated Electric
336,XYL,Xylem Inc,116.97,129,10.3,,Narrow,,Industrials,Specialty Industrial Machinery
337,ON,ON Semiconductor Corp,81.61,90,10.3,,Narrow,,Technology,Semiconductors
338,CWK,Cushman & Wakefield Ltd,13.42,14.8,10.3,,None,,Real Estate,Real Estate Services
339,MSI,Motorola Solutions Inc,435.75,480,10.2,,Wide,,Technology,Communication Equipment
340,APD,Air Products and Chemicals Inc,294.89,325,10.2,4,Wide,,Basic Materials,Specialty Chemicals
341,AN,AutoNation Inc,212.4,234,10.2,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
342,BLK,BlackRock Inc,1090.39,1200,10.1,,Wide,,Financial Services,Asset Management
343,HOG,Harley-Davidson Inc,24.54,27,10.0,,Narrow,,Consumer Cyclical,Recreational Vehicles
344,ECL,Ecolab Inc,277.63,305,9.9,,Wide,,Basic Materials,Specialty Chemicals
345,HBAN,Huntington Bancshares Inc,17.04,18.7,9.7,,None,,Financial Services,Banks - Regional
346,BX,Blackstone Inc,127.75,140,9.6,,Wide,,Financial Services,Asset Management
347,BKNG,Booking Holdings Inc,192.9,211,9.4,,Wide,,Consumer Cyclical,Travel Services
348,BLCO,Bausch & Lomb Corp,16.91,18.5,9.4,,Narrow,,Healthcare,Medical Instruments & Supplies
349,ZM,Zoom Communications Inc,96.07,105,9.3,,Narrow,,Technology,Software - Application
350,SWKS,Skyworks Solutions Inc,62.28,68,9.2,,None,,Technology,Semiconductors
351,GNRC,Generac Holdings Inc,197.11,215,9.1,,Narrow,,Industrials,Specialty Industrial Machinery
352,JD,JD.com Inc ADR,33.01,36,9.1,,Narrow,,Consumer Cyclical,Internet Retail
353,MCD,McDonald's Corp,270.64,295,9.0,,Wide,,Consumer Cyclical,Restaurants
354,J,Jacobs Solutions Inc,134.93,147,8.9,,None,,Industrials,Engineering & Construction
355,FCNCA,First Citizens BancShares Inc Class A,2186.65,2380,8.8,,None,,Financial Services,Banks - Regional
356,LNT,Alliant Energy Corp,70.78,77,8.8,4,Narrow,,Utilities,Utilities - Regulated Electric
357,PII,Polaris Inc,67.08,73,8.8,,Wide,,Consumer Cyclical,Recreational Vehicles
358,AB,AllianceBernstein Holding LP,36.76,40,8.8,3,None,,Financial Services,Asset Management
359,MGNI,Magnite Inc,19.3,21,8.8,,None,,Communication Services,Advertising Agencies
360,MCO,Moodys Corp,478.38,520,8.7,,Wide,,Financial Services,Financial Data & Stock Exchanges
361,IT,Gartner Inc,151.02,164,8.6,,None,,Technology,Information Technology Services
362,PPG,PPG Industries Inc,110.52,120,8.6,,Narrow,,Basic Materials,Specialty Chemicals
363,CG,The Carlyle Group Inc,46.02,50,8.6,,Narrow,,Financial Services,Asset Management
364,AZN,AstraZeneca PLC,169.64,184,8.5,,Wide,,Healthcare,Drug Manufacturers - General
365,AKAM,Akamai Technologies Inc,115.18,125,8.5,4,None,,Technology,Software - Infrastructure
366,ESS,Essex Property Trust Inc,284.14,308,8.4,,None,,Real Estate,REIT - Residential
367,BIIB,Biogen Inc,202.95,220,8.4,,Narrow,,Healthcare,Drug Manufacturers - General
368,RVTY,Revvity Inc,112.52,122,8.4,,None,,Healthcare,Diagnostics & Research
369,VIV,Telefonica Brasil SA ADR,12.92,14,8.4,,None,,Communication Services,Telecom Services
370,FDS,FactSet Research Systems Inc,263.2,285,8.3,,None,,Financial Services,Financial Data & Stock Exchanges
371,TRU,TransUnion,78.62,85,8.1,,Narrow,,Financial Services,Financial Data & Stock Exchanges
372,ALLE,Allegion PLC,157.4,170,8.0,3,Wide,,Industrials,Security & Protection Services
373,UBER,Uber Technologies Inc,70.36,76,8.0,,Narrow,,Technology,Software - Application
374,EQIX,Equinix Inc,1019.28,1100,7.9,,Narrow,,Real Estate,REIT - Specialty
375,MPLX,MPLX LP Partnership Units,58.45,63,7.8,,Narrow,,Energy,Oil & Gas Midstream
376,MCHP,Microchip Technology Inc,74.29,80,7.7,,Wide,,Technology,Semiconductors
377,MGM,MGM Resorts International,44.57,48,7.7,,None,,Consumer Cyclical,Resorts & Casinos
378,VOD,Vodafone Group PLC ADR,15.78,17,7.7,,None,,Communication Services,Telecom Services
379,NXST,Nexstar Media Group Inc,190.53,205,7.6,,None,,Communication Services,Broadcasting
380,APO,Apollo Global Management Inc,125.59,135,7.5,,Narrow,,Financial Services,Asset Management
381,PG,Procter & Gamble Co,144.49,155,7.3,,Wide,,Consumer Defensive,Household & Personal Products
382,SOFI,SoFi Technologies Inc Ordinary Shares,16.31,17.5,7.3,,Narrow,,Financial Services,Credit Services
383,ROP,Roper Technologies Inc,391.97,420,7.2,,None,,Technology,Software - Application
384,HRI,Herc Holdings Inc,150.14,161,7.2,,None,,Industrials,Rental & Leasing Services
385,FRT,Federal Realty Investment Trust,124.09,133,7.2,,None,,Real Estate,REIT - Retail
386,BMY,Bristol-Myers Squibb Co,65.31,70,7.2,,Wide,,Healthcare,Drug Manufacturers - General
387,REG,Regency Centers Corp,80.29,86,7.1,,None,,Real Estate,REIT - Retail
388,GGG,Graco Inc,79.38,85,7.1,,Wide,,Industrials,Specialty Industrial Machinery
389,ISRG,Intuitive Surgical Inc,353.33,378,7.0,,Wide,,Healthcare,Medical Instruments & Supplies
390,SAH,Sonic Automotive Inc Class A,91.58,98,7.0,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
391,RF,Regions Financial Corp,30.95,33.1,6.9,,Narrow,,Financial Services,Banks - Regional
392,STE,Steris PLC,228.4,244,6.8,,Narrow,,Healthcare,Medical Devices
393,NU,Nu Holdings Ltd Ordinary Shares Class A,14.33,15.3,6.8,,Narrow,,Financial Services,Banks - Regional
394,EXR,Extra Space Storage Inc,148.04,158,6.7,,None,,Real Estate,REIT - Industrial
395,Q,Qnity Electronics Inc,131.18,140,6.7,,Narrow,,Technology,Semiconductor Equipment & Materials
396,QSR,Restaurant Brands International Inc,74.02,79,6.7,,Narrow,,Consumer Cyclical,Restaurants
397,MSCI,MSCI Inc,572.24,610,6.6,,Wide,,Financial Services,Financial Data & Stock Exchanges
398,HAS,Hasbro Inc,93.94,100,6.5,,Narrow,,Consumer Cyclical,Leisure
399,BAC,Bank of America Corp,61.95,66,6.5,,Wide,,Financial Services,Banks - Diversified
400,WBD,Warner Bros. Discovery Inc Ordinary Shares - Class A,26.3,28,6.5,,None,,Communication Services,Entertainment
401,CME,CME Group Inc Class A,267.79,285,6.4,,Wide,,Financial Services,Financial Data & Stock Exchanges
402,MICC,The Magnum Ice Cream Co NV,18.61,19.8,6.4,,Wide,,Consumer Defensive,Packaged Foods
403,MCK,McKesson Corp,856.19,910,6.3,,Narrow,,Healthcare,Medical Distribution
404,RJF,Raymond James Financial Inc,175.98,187,6.3,,Narrow,,Financial Services,Asset Management
405,BC,Brunswick Corp,79,84,6.3,,Narrow,,Consumer Cyclical,Recreational Vehicles
406,HMC,Honda Motor Co Ltd ADR,30.11,32,6.3,,None,,Consumer Cyclical,Auto Manufacturers
407,HUBB,Hubbell Inc,472.55,502,6.2,,Wide,,Industrials,Electrical Equipment & Parts
408,DPZ,Domino's Pizza Inc,347.44,369,6.2,,Wide,,Consumer Cyclical,Restaurants
409,ELAN,Elanco Animal Health Inc,26.37,28,6.2,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
410,BEKE,KE Holdings Inc ADR,16.95,18,6.2,,Narrow,,Real Estate,Real Estate Services
411,GD,General Dynamics Corp,383.42,407,6.1,,Wide,,Industrials,Aerospace & Defense
412,BBIO,BridgeBio Pharma Inc,80.09,85,6.1,,None,,Healthcare,Biotechnology
413,NWG,NatWest Group PLC ADR,18.94,20.1,6.1,,Narrow,,Financial Services,Banks - Regional
414,GEV,GE Vernova Inc,990.29,1050,6.0,,Narrow,,Industrials,Specialty Industrial Machinery
415,WEC,WEC Energy Group Inc,109.42,116,6.0,,Narrow,,Utilities,Utilities - Regulated Electric
416,KDP,Keurig Dr Pepper Inc,31.12,33,6.0,,Narrow,,Consumer Defensive,Beverages - Non-Alcoholic
417,KIM,Kimco Realty Corp,25.48,27,6.0,,None,,Real Estate,REIT - Retail
418,ERIC,Telefonaktiebolaget L M Ericsson ADR,9.81,10.4,6.0,,None,,Technology,Communication Equipment
419,WFRD,Weatherford International PLC Ordinary Shares - New,87.79,93,5.9,,None,,Energy,Oil & Gas Equipment & Services
420,TRIP,Tripadvisor Inc,14.16,15,5.9,,None,,Consumer Cyclical,Travel Services
421,LRCX,Lam Research Corp,293.02,310,5.8,,Wide,,Technology,Semiconductor Equipment & Materials
422,SKHY,SK hynix Inc ADR,143.73,152,5.8,,None,,Technology,Semiconductors
423,RACE,Ferrari NV,393.87,416,5.6,,Wide,,Consumer Cyclical,Auto Manufacturers
424,ICUI,ICU Medical Inc,168.51,178,5.6,,None,,Healthcare,Medical Instruments & Supplies
425,KR,The Kroger Co,57.74,61,5.6,,None,,Consumer Defensive,Grocery Stores
426,TAL,TAL Education Group ADR,12.5,13.2,5.6,,None,,Consumer Defensive,Education & Training Services
427,D,Dominion Energy Inc,69.17,73,5.5,,Narrow,,Utilities,Utilities - Regulated Electric
428,RDY,Dr Reddy's Laboratories Ltd ADR,11.85,12.5,5.5,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
429,ANET,Arista Networks Inc,180.35,190,5.4,,Wide,,Technology,Computer Hardware
430,MO,Altria Group Inc,68.33,72,5.4,3,Wide,,Consumer Defensive,Tobacco
431,EXE,Expand Energy Corp Ordinary Shares - New,94.03,99,5.3,,None,,Energy,Oil & Gas E&P
432,SRE,Sempra,88.55,93,5.0,,Narrow,,Utilities,Utilities - Diversified
433,DHI,D.R. Horton Inc,143.06,150,4.9,,None,,Consumer Cyclical,Residential Construction
434,SIRI,Sirius XM Holdings Inc,29.62,31,4.7,,None,,Communication Services,Entertainment
435,PEB,Pebblebrook Hotel Trust,19.1,20,4.7,,None,,Real Estate,REIT - Hotel & Motel
436,XRAY,Dentsply Sirona Inc,13.37,14,4.7,,None,,Healthcare,Medical Instruments & Supplies
437,UPS,United Parcel Service Inc Class B,104.22,109,4.6,,Wide,,Industrials,Integrated Freight & Logistics
438,OKE,ONEOK Inc,90.81,95,4.6,,Narrow,,Energy,Oil & Gas Midstream
439,VG,Venture Global Inc Ordinary Shares - Class A,13.38,14,4.6,,None,,Energy,Oil & Gas Midstream
440,VNET,VNET Group Inc ADR,7.17,7.5,4.6,,None,,Technology,Information Technology Services
441,DASH,DoorDash Inc Ordinary Shares - Class A,196.16,205,4.5,,Narrow,,Consumer Cyclical,Internet Retail
442,HE,Hawaiian Electric Industries Inc,12.92,13.5,4.5,,None,,Utilities,Utilities - Regulated Electric
443,DUK,Duke Energy Corp,125.43,131,4.4,,Narrow,,Utilities,Utilities - Regulated Electric
444,RPRX,Royalty Pharma PLC Class A,58.43,61,4.4,,Narrow,,Healthcare,Biotechnology
445,BZ,Kanzhun Ltd ADR,16.28,17,4.4,,None,,Communication Services,Internet Content & Information
446,TFC,Truist Financial Corp,51.84,54,4.2,,None,,Financial Services,Banks - Regional
447,CZR,Caesars Entertainment Inc,29.75,31,4.2,,None,,Consumer Cyclical,Resorts & Casinos
448,MKL,Markel Group Inc,1882.34,1960,4.1,,None,,Financial Services,Insurance - Property & Casualty
449,WFC,Wells Fargo & Co,86.45,90,4.1,,Wide,,Financial Services,Banks - Diversified
450,BTI,British American Tobacco PLC ADR,60.65,63,3.9,,Wide,,Consumer Defensive,Tobacco
451,RPD,Rapid7 Inc,9.65,10,3.6,,None,,Technology,Software - Infrastructure
452,ADI,Analog Devices Inc,367.41,380,3.4,3,Wide,,Technology,Semiconductors
453,ROKU,Roku Inc Class A,145.01,150,3.4,,None,,Communication Services,Entertainment
454,XYZ,Block Inc Class A,81.24,84,3.4,,Narrow,,Technology,Software - Infrastructure
455,MU,Micron Technology Inc,823.03,850,3.3,,None,,Technology,Semiconductors
456,SHEL,Shell PLC ADR (Representing - Ordinary Shares),91.98,95,3.3,,None,,Energy,Oil & Gas Integrated
457,BAM,Brookfield Asset Management Ltd Ordinary Shares - Class A,48.4,50,3.3,,Narrow,,Financial Services,Asset Management
458,USB,U.S. Bancorp,63.01,65,3.2,,Wide,,Financial Services,Banks - Regional
